Type,Value,Note
Domain name,prosearium.net,PhantomRelayLite C2 (Teams vishing)
Domain name,saidozdemir.com,PhantomRelayLite C2 (Teams vishing)
Domain name,tucsonanimalallergy.com,PhantomRelayLite C2 (Teams vishing)
Domain name,halungroup.com,PhantomRelayLite C2 (Teams vishing)
Domain name,khanvas.com,PhantomRelayLite C2 (Teams vishing)
Domain name,maxolutions243.com,PhantomRelayLite C2 (Teams vishing)
Domain name,thirdmetrics.com,PhantomRelayLite C2 (Teams vishing)
Domain name,resutato.com,Teams vishing: NetSupport staging domain
Domain name,red-viper.com,Teams vishing: NetSupport staging domain
Domain name,emballeplus.com,Teams vishing: NetSupport staging domain
Domain name,meadowsantiques.com,PhantomRelayLite C2 (KongTuke)
Domain name,seahorsemethod.com,PhantomRelayLite C2 (KongTuke)
Domain name,intrawld.com,PhantomRelayLite C2
Domain name,emovietheater.com,PhantomRelayLite C2
Domain name,robotic-toys.com,PhantomRelayLite C2
Domain name,kentfiresafe.com,PhantomRelayLite C2
Domain name,artsselection.com,PhantomRelayLite C2 (KongTuke)
Domain name,zeftasarim.com,PhantomRelayLite C2 (KongTuke)
Domain name,xpertlearninghub.com,PhantomRelayLite C2 (KongTuke)
